Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
e5-large-v2,GQ,0.5,0.41755841069601246,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
e5-large-v2,GQ,0.0,0.0,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
e5-large-v2,GQ,0.5,0.31958277119025663,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4
e5-large-v2,GQ,0.25,0.5777817693813677,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,0.3333333333333333,0.5154431640043469,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
e5-large-v2,GQ,0.5,0.4462144482435331,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8
e5-large-v2,GQ,0.5,0.7222955191528473,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
e5-large-v2,GQ,0.5,0.4462144482435331,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
e5-large-v2,GQ,0.25,0.5090976671518248,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,1.0,0.6663180938082345,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
e5-large-v2,GQ,0.1111111111111111,0.5057668260404612,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,0.8
e5-large-v2,GQ,0.5,0.39582263757879765,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6
e5-large-v2,GQ,0.0,0.22460731655903235,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4,1.0,1.0,0.6
e5-large-v2,GQ,0.5,0.6490859916853506,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
