Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7642937333139903,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7222955191528473,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.14285714285714285,0.7884243456235575,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9594038642138902,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5967409351769444,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6156012978458393,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7175795033019003,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.16666666666666666,0.26484957196319414,0.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.1,0.6496880216005125,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8067166371883648,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7798963544352987,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7565323207720728,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.1,0.7951800613226842,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5909478262486239,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8545079602778286,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.819423314073295,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7753926834409677,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7425579601967754,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6994778023500862,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5967409351769444,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8402086144048716,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7838989203856039,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6045023477188619,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.3798950311598296,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.14285714285714285,0.4221055901775884,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8818745598913598,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.3798950311598296,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.1111111111111111,0.6454301652763276,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.3333333333333333,0.5229989281633449,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.663060352260648,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6626622673992113,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8831639978253493,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8817619194503159,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9020243604942442,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.19928881659657144,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.3333333333333333,0.6954969906434034,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7462137866057986,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7610359917664038,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.1,0.578821425035233,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6045023477188619,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8742379217756538,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7474814702961656,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8364280135696369,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8077937302657386,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9819200532918083,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9500280284403236,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8909254103672668,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8269790782322932,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7753926834409677,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8831639978253493,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9020243604942442,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7422329748991158,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.5983691957229555,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5797362356806025,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8516325498295086,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.3333333333333333,0.5797362356806025,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7135769373515951,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7425579601967754,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5827665746016472,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7717368570319445,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7311340247721385,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8073738911606795,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9389290783133463,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8909254103672668,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6156012978458393,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6918411642343802,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6045023477188619,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6596319284781668,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9811396373311051,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9641349378347632,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9532640157442877,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7425579601967754,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5909478262486239,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8909254103672668,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7642937333139903,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8405335997025313,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7642937333139903,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7311340247721385,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6045023477188619,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.9922385874580825,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6490859916853506,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6490859916853506,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8213482517359767,1.0,0.8,200,50,0.25
