Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,1.0,0.5,0.4040038892257743,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6626622673992113,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.2,0.609006018713193,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.4541804312491357,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.5194239757110297,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.6490859916853506,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.41755841069601246,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5983691957229555,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.544622060839516,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.49747585773719905,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7606379069049671,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.14285714285714285,0.2779168257037686,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.5728461252968097,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.1822841171002297,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.1,0.3861061333276854,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.125,0.15979138559512832,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.1111111111111111,0.47840022642693,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.14285714285714285,0.24873792886859952,0.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.5476523997605606,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.20705022913848906,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5221293293344146,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.14285714285714285,0.5818969757727167,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.2,0.5291103259156289,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.16666666666666666,0.43369180803422946,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5032689666655196,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.28276723623938166,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.14285714285714285,0.4048734880547047,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5909478262486239,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.2,0.5078974120860623,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.1111111111111111,0.2615543224098152,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.23968707839269246,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.3434775810703913,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.07623986638854101,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5043442138773696,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.5082046107500777,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.3798950311598296,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.12663167705327652,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.30891579415350623,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.5032689666655196,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.34510584161640256,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.1823967575412735,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7507174576001296,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7507174576001296,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7552428828380833,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7304767707998239,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8441894261115545,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.4130547397016814,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.16666666666666666,0.6335330125550026,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.125,0.4130547397016814,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.23570626668600975,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.33315904690411724,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.19984120452077303,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.2577670251008841,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5221293293344146,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.42865736082298983,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.4097969981540948,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.16666666666666666,0.38026965844844945,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.5048972272115309,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.3264728815740496,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.4197174474589323,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.1111111111111111,0.15247973277708202,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5065267082131061,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.6663180938082345,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.42865736082298983,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.19928881659657144,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.5189963622130398,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.525761698170621,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.5476523997605606,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.366318755445969,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.25000561255896653,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.12663167705327652,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.125,0.15979138559512832,0.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.125,0.32624547894750755,0.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.3434775810703913,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.4130547397016814,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.6351847306738305,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.3927922986577531,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.5032689666655196,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.16666666666666666,0.5467472093736455,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7551302423970394,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.4040038892257743,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.6819207149295429,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.6954969906434034,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.6312039189671478,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7581605813180838,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.4355474712067828,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.42467654911630714,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.6811620532124621,1.0,0.8,25,25,1.0
