Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
text-embedding-3-large,GQ,1.0,1.0,0.7709564410712412,1.0,0.8,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,25,25,1.0
text-embedding-3-large,GQ,1.0,1.0,0.7058155248096776,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,1.0,1.0,0.7642937333139903,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.62042995413783,1.0,0.8,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.48603686454263584,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.6708217648025655,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,1.0,0.3333333333333333,0.3623379437392863,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,1.0,0.3333333333333333,0.6012446061712755,1.0,0.8,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.6708217648025655,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.125,0.6241075347904755,1.0,0.8,25,25,1.0
text-embedding-3-large,GQ,1.0,1.0,0.8324472018629541,1.0,0.8,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.2110527950887942,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.6819207149295429,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.2110527950887942,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.27339140046581506,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.14285714285714285,0.16884223607103535,0.0,0.2,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.4097969981540948,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.1111111111111111,0.2504553722828378,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,1.0,0.3333333333333333,0.6843980405164262,1.0,0.8,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,25,1.0
text-embedding-3-large,GQ,1.0,0.25,0.2943890456540074,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.09021422696383823,0.0,0.2,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.07623986638854101,0.0,0.2,25,25,1.0
text-embedding-3-large,GQ,0.0,0.125,0.5728461252968097,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.12663167705327652,1.0,0.2,25,25,1.0
text-embedding-3-large,GQ,1.0,0.25,0.5045722419138712,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,1.0,0.2,0.609006018713193,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.14285714285714285,0.5123198171414266,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
text-embedding-3-large,GQ,1.0,0.3333333333333333,0.5065267082131061,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.1,0.3574718500237872,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,25,1.0
text-embedding-3-large,GQ,0.0,0.14285714285714285,0.4221055901775884,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.125,0.15979138559512832,0.0,0.2,25,25,1.0
text-embedding-3-large,GQ,0.0,0.14285714285714285,0.2779168257037686,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,25,1.0
text-embedding-3-large,GQ,1.0,0.3333333333333333,0.6156012978458393,1.0,0.6,25,25,1.0
text-embedding-3-large,GQ,1.0,0.25,0.6128664155859013,1.0,1.0,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.1634237544313347,0.0,0.4,25,25,1.0
text-embedding-3-large,GQ,1.0,0.5,0.4097969981540948,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.28642306264840484,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.32950322049509406,1.0,0.4,25,25,1.0
text-embedding-3-large,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
