Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
all-MiniLM-L6-v2,GQ,1.0,0.5,0.4040038892257743,1.0,0.4,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,18,0.72
all-MiniLM-L6-v2,GQ,0.0,0.0,0.4130547397016814,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.4244485210798054,1.0,0.6,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.5065267082131061,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.5728461252968097,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,1.0,0.6331583852663827,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.25,0.5271776138600165,1.0,0.8,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.48626426716917787,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.4422336365368504,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.6331583852663827,1.0,0.4,25,18,0.72
all-MiniLM-L6-v2,GQ,1.0,0.2,0.3225829560647882,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.5728461252968097,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.1,0.2554936445677262,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.14285714285714285,0.24205176353853186,0.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.323215140026463,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.125,0.31958277119025663,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.12663167705327652,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.25326335410655304,1.0,0.2,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.22460731655903235,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.07623986638854101,0.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.26886597522786154,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.25,0.5045722419138712,1.0,0.6,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.35123899361230887,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.125,0.49747585773719905,1.0,0.6,25,16,0.64
all-MiniLM-L6-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,17,0.68
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0732095274674965,0.0,0.2,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.4942181161896125,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.18818986646959404,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.25,0.598044210425296,1.0,0.6,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.17421550589429685,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.19928881659657144,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.14285714285714285,0.24205176353853186,0.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.09021422696383823,0.0,0.2,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.32950322049509406,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,20,0.8
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.4603135832450421,1.0,0.6,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.14285714285714285,0.5351609915170044,1.0,0.8,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.3264728815740496,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.2,0.35574266460663995,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.26808555926715816,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.4130547397016814,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.23570626668600975,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.16431681083308186,0.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.663060352260648,1.0,0.6,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.25,0.4714125333720195,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,0.5,0.6994778023500862,1.0,0.6,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,0.5,0.6460556527643062,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.5728461252968097,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.3623379437392863,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.43113468640987307,1.0,0.6,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.28642306264840484,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.08442111803551768,0.0,0.2,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.125,0.15979138559512832,0.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,25,13,0.52
all-MiniLM-L6-v2,GQ,0.0,0.0,0.31194613307455077,1.0,0.6,25,19,0.76
all-MiniLM-L6-v2,GQ,0.0,0.0,0.22460731655903235,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,18,0.72
all-MiniLM-L6-v2,GQ,1.0,0.5,0.41755841069601246,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.5864224010106703,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.4130547397016814,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.16666666666666666,0.18042845392767645,0.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.5065267082131061,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.2,0.609006018713193,1.0,0.6,25,17,0.68
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.3376844721420707,1.0,0.4,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,25,17,0.68
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.16645409335237923,0.0,0.4,25,13,0.52
