Question,Expected_answer,Generated_answer,Generated_before_support,eval_exact_match,eval_token_f1,eval_rouge1_f,eval_rouge2_f,eval_rougeL_f,eval_bleu,eval_meteor
What are the taxonomic characteristics of Hermoniahystrix,"Hermonia hystrix Savigny, 1820. The body is described as oval and depressed, about 30-40 mm long, with 32-34 setigers. The prostomium is small and rounded, with a slender median antenna arising from a stout ceratophore. The eyes are described as a pair of swollen ommatophores, each bearing two eye spots. The elytra are described as fifteen pairs of smooth elytra. The setae are described as notosetae of clytrigerous feet, including very long harpoon-setae, sabre-setae, and a few small capillaries. The notosetae are described as smaller and lacking harpoon-setae. The neurosetae are described as bifurcate, with the longer prong bearing one to four accessory teeth but no fringe of hair. The geographical distribution is described as the Northern Atlantic from Scotland to Senegal, the Mediterranean, the Red Sea, the Indian Ocean, and Japan.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Laetmonice wyvillei,"Laetmonice wyvillei McIntosh, 1885. The body is described as almost oblong, up to 35 mm long, with 42 segments. The eyes are described as ocular peduncles not pigmented. The elytra are described as eighteen pairs of smooth elytra. The notosetae are described as notosetae of elytrigerous segments stouter than those of cirrigerous ones, including long harpoon-setae, and notopodia with mere vestiges of felt. The ventrum is described as smooth, with only a few papillae between the parapodia. The lobes are described as none on the tentacular segment at the sides of the prostomium. The cirri are described as ventral cirri small and weak, never reaching the bases of the inferior neurosetae. The geographical distribution is described as Subantarctic (abyssal).",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Laetmonice benthaliana,"Laetmonice benthaliana McIntosh, 1885. The body is flattened and oval, up to 30 mm long, with 32–36 segments. The eyes have nonpigmented ocular peduncles. The elytra are fifteen pairs; each elytron is covered with a very delicate felt. The notosetae are described as notosetae of elytrigerous segments: stouter, with long harpoon-setae; notosetae of cirrigerous segments: more slender, without harpoon-setae. The neurosetae have a spur at the base of the feathered apex. The ventrum is smooth, with only a few papillae between the parapodia. The lobes lack lateral lobes on the tentacular segment beside the prostomium. The ventral cirri are small and weak, never reaching the bases of the inferior neurosetae. The geographical distribution is Subantarctic.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Aphrodita alta,"Aphrodita alta Kinberg, 1855. The body is oval, about 30 mm long, ventrally flattened, with 37–40 segments; posterior segments taper but do not form a distinct tail. The prostomium is rounded and bears large, lightly pigmented ocular swellings. The notosetae are hooked at the tips; their shafts are finely hairy proximally and minutely nodular distally. The ventrum is papillose. The median antenna is small and slender, with a slight subapical swelling. The felt is well developed and nearly obscures the short acicular notosetae. The parapodia are short, stout, and papillose. The neuropodial setae are brown spines, each with a bent, pilose tip. The geographical distribution includes Brazil, Senegal, and Antarctica.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Pontogenia chrysocoma,"Pontogenia chrysocoma Baird, 1865. The body is oblong, up to 40 mm long, with 34 segments; the dorsum is arched and dark brown. The prostomium is small, bearing four eyes on a pair of divergent peduncles; the median antenna consists of four unequal joints. The elytra are fifteen pairs, each with a few small chitinous tubercles. The notosetae are large, erect, sabre-like paleae, dentate along the convex margin, with few short capillaries and a bundle of very long, fine capillaries forming the felt. The neurosetae are few and stout, with a very small spur just below the apex. The ventrum and parapodia are papillose. The facial tubercle is papillose. The geographical distribution is described as Mediterranean; Zanzibar; Madagascar; Morocco.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Iphione muricata,"Iphione muricata Savigny, 1818. The body is oval, dorsally arched, up to 20 mm long, with 29 segments; the dorsum is fully covered by 13 pairs of tough, imbricating elytra. The prostomium is square and deeply bilobed; lateral antennae are terminal, with large ceratophores fused to the facial tubercle; the median antenna is reduced to a small papilla in a postero-dorsal position, usually hidden beneath the nuchal fold. The eyes are small; both pairs are positioned posteriorly. The elytra are thirteen pairs; large, reniform, tough; the surface is divided into punctate polygonal areas bearing one or two rows of stout chitinous projections and long adhesive papillae near the posterior margin. The notosetae are numerous, very fine, biserrate capillaries. The neurosetae are neuropodium large and truncate, with numerous stout unidentate setae ornamented by transverse striations. The cirri are papillose. The geographical distribution includes the Red Sea and the Indo-Pacific region, including Madagascar, Zanzibar, the Philippines, and Japan.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Alentia australis,"Alentia australis Monro, 1936. The body is described as elongate and flattened, exceeding 95 mm in length and with more than 59 segments. The prostomium is described as having lateral antennae terminal; a median antenna more dorsally placed; two pairs of large lateral eyes; smooth antennae about three times the prostomial length; long palps; a prominent facial tubercle; and a large occipital flap. The elytra are described as large and smooth, with scattered small three-pronged tubercles. The cirri are described as long and smooth. The notopodium is described as small, bearing a few long, smooth capillaries. The neuropodium is described as large and pointed; superior neurosetae slender, lanceolate, with denticulate tips; inferior neurosetae numerous, bidentate, with smooth slanting pockets along the blade. The geographical distribution is described as the South Georgia and the Falkland Islands region.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Macellicephala mirabilis,"Macellicephala mirabilis McIntosh, 1885. The body is purple, up to 30 mm long, and has 18 segments. The prostomium bears a pair of large, forward-projecting lobes, each with minute lateral antennae (often broken); the median antenna is very large and smooth, arising dorsally; no eyes. The elytra are nine to ten pairs; they cover the dorsum; they are deciduous and structurally unknown. The notosetae are few and stout, lacking serrations; the tentacular segment has no setae. The neurosetae are long, with slightly expanded, spear-shaped tips and weak serrations; no secondary tooth. The cirri are dorsal, long, smooth, and slightly expanded distally. The nephridial papillae are large and present on segments 10–12. The geographical distribution includes South Georgia; New Zealand; the North Atlantic; and the North Pacific.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Pareulepis geayi,"Pareulepis geayi Fauvel, 1918, has an oblong body measuring up to 35 mm, with 36–38 setigers, and a white coloration. The prostomium is wider than long, recessed between the front segments and attached medially to an overlying fold of setiger 2. The median antenna is ovoid and dorsally positioned, while the lateral antennae are conical and terminal. Eyes are absent or faintly pigmented. The species features twelve pairs of tough, hairless elytra that increase in length towards the back, with the 12th elytron being 2–3 times longer than broad. The first elytron has 3–4 soft papillae near the front margin, and subsequent elytra have 10–12 digitiform processes along the outer edge, with the 12th carrying 15–18 processes. Dorsal cirrophores are large with ventral ridges; dorsal cirri are small, conical, and smooth; ventral cirri are small, ovoid, with a terminal filament; and the anal cirri are exceptionally long and slender. The notopodium is short; setiger 1 has long, silky notosetae, and others include long, silky capillaries (some spinulose) and stout brown setae with a flattened, spathulate tip bent at right angles to the shaft. The neuropodium is truncated, with an expanded aciculum at the tip. Neurosetae comprise one superior pectinate seta and numerous large, recurved setae tapering to fine, unidentate tips. This species is distributed in the Indo–West Pacific, including the Red Sea, Madagascar, and New Caledonia.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What are the taxonomic characteristics of Paralepidonotus ampulliferus,"Paralepidonotus ampulliferus Grube, 1878. The body is oblong, up to 17 mm long, with 38 segments, mostly covered by 15 pairs of elytra. The prostomium lacks lateral peaks; lateral antennae are inserted subterminally, below the level of the median antenna; anterior eyes are lateral and positioned well back; the median antenna is slender and about 1.5× the prostomial length; lateral antennae are about three-quarters the prostomial length. The elytra are oval with a small marginal fringe; the surface bears numerous small tubercles, some with two or three blunt projections; the posterior margin bears a series of large pear-shaped vesicles. The notosetae are numerous and coarsely serrated, ending in blunt tips. The neurosetae are slender and mainly bidentate, with the fine secondary tooth nearly as long as the terminal tooth. The dorsal cirri are long, reaching the tips of the neurosetae; the antennae and cirri are papillose. The ventral lamellae are conspicuous. The geographical distribution includes the Red Sea and the tropical Indo-Pacific from Mombasa to the Philippine Islands.",<concise> Support: <1-2 lines>,<concise>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
