Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,1.0,1.0,0.869189637250052,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.700022415881357,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
e5-large-v2,GQ,0.0,0.1111111111111111,0.7030075429859624,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.9641349378347632,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.5864224010106703,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.9864454785297619,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.700022415881357,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,0.25,0.544622060839516,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,0.2,0.609006018713193,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8409534388075904,1.0,0.8,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.6299006437187962,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8728454636590752,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8324472018629541,1.0,0.8,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8733683229467235,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7058155248096776,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6156012978458393,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6331583852663827,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8032683050277851,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.9708211031648311,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7565323207720728,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6331583852663827,1.0,0.4,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.09021422696383823,0.0,0.2,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.3376844721420707,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,0.5,0.6527418180943738,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,0.5,0.6455032648401046,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,0.5,0.7610359917664038,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.9577894409822412,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8831639978253493,1.0,0.8,25,25,1.0
e5-large-v2,GQ,0.0,0.1111111111111111,0.38818599946309174,1.0,0.6,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6045023477188619,1.0,0.4,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8405335997025313,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
e5-large-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7907890307693969,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.913418141872368,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,0.3333333333333333,0.6889234657543797,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.6641573537161204,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7934726301491593,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,0.25,0.7578355960204244,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
e5-large-v2,GQ,0.0,0.16666666666666666,0.506901335501726,1.0,0.6,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8733683229467235,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.9505804163645253,1.0,1.0,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8487148513495081,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8306349046413164,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.8306349046413164,1.0,0.8,25,25,1.0
e5-large-v2,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
