Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
bge-large-en-v1.5,GQ,0.5,0.4040038892257743,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,1.0
bge-large-en-v1.5,GQ,0.0,0.10907458963273321,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4
bge-large-en-v1.5,GQ,1.0,0.6626622673992113,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.2,0.609006018713193,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.25,0.4541804312491357,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,1.0
bge-large-en-v1.5,GQ,0.5,0.5194239757110297,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.5,0.6490859916853506,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.5,0.41755841069601246,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4
bge-large-en-v1.5,GQ,0.3333333333333333,0.5983691957229555,25,25,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.25,0.544622060839516,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.0,0.49747585773719905,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.6,1.0,1.0,0.8
bge-large-en-v1.5,GQ,1.0,0.7606379069049671,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
bge-large-en-v1.5,GQ,0.14285714285714285,0.2779168257037686,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6
bge-large-en-v1.5,GQ,0.5,0.5728461252968097,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.0,0.1822841171002297,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.8
bge-large-en-v1.5,GQ,0.1,0.3861061333276854,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0
bge-large-en-v1.5,GQ,0.125,0.15979138559512832,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.4
bge-large-en-v1.5,GQ,0.1111111111111111,0.47840022642693,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
bge-large-en-v1.5,GQ,0.14285714285714285,0.24873792886859952,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.4
