Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,1.0,0.5,0.41755841069601246,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.0,0.0,0.0,10,10,1.0
e5-large-v2,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,10,10,1.0
e5-large-v2,GQ,1.0,0.25,0.5777817693813677,1.0,0.8,10,10,1.0
e5-large-v2,GQ,1.0,0.3333333333333333,0.5154431640043469,1.0,0.8,10,10,1.0
e5-large-v2,GQ,1.0,0.5,0.4462144482435331,1.0,0.4,10,10,1.0
e5-large-v2,GQ,1.0,0.5,0.7222955191528473,1.0,0.8,10,10,1.0
e5-large-v2,GQ,1.0,0.5,0.4462144482435331,1.0,0.4,10,10,1.0
e5-large-v2,GQ,1.0,0.25,0.5090976671518248,1.0,0.8,10,10,1.0
e5-large-v2,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.1111111111111111,0.5057668260404612,1.0,0.8,10,10,1.0
e5-large-v2,GQ,1.0,0.5,0.39582263757879765,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.22460731655903235,1.0,0.4,10,10,1.0
e5-large-v2,GQ,1.0,0.5,0.6490859916853506,1.0,0.6,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.2360312519836693,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.0,0.0,0.0,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.26521014881883836,1.0,0.6,10,10,1.0
e5-large-v2,GQ,0.0,0.1111111111111111,0.38818599946309174,1.0,0.6,10,10,1.0
e5-large-v2,GQ,1.0,0.25,0.4714125333720195,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.15979138559512832,1.0,0.2,10,10,1.0
e5-large-v2,GQ,1.0,0.3333333333333333,0.25326335410655304,1.0,0.2,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.10907458963273321,1.0,0.2,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.09797563950575583,1.0,0.2,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.26886597522786154,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.16666666666666666,0.18042845392767645,0.0,0.2,10,10,1.0
e5-large-v2,GQ,1.0,0.25,0.5045722419138712,1.0,0.6,10,10,1.0
e5-large-v2,GQ,0.0,0.14285714285714285,0.748351069125096,1.0,1.0,10,10,1.0
e5-large-v2,GQ,0.0,0.1111111111111111,0.4057430868836351,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.0,0.0,0.0,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.0,0.0,0.0,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.07989569279756416,0.0,0.2,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,10,10,1.0
e5-large-v2,GQ,1.0,0.25,0.4179903837862395,1.0,0.6,10,10,1.0
e5-large-v2,GQ,1.0,0.3333333333333333,0.33315904690411724,1.0,0.4,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.4422336365368504,1.0,0.6,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.25326335410655304,1.0,0.2,10,10,1.0
e5-large-v2,GQ,0.0,0.0,0.0,0.0,0.0,10,10,1.0
