Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
all-MiniLM-L6-v2,GQ,1.0,1.0,0.9563735252928458,1.0,1.0,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.14285714285714285,0.16884223607103535,0.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.663060352260648,1.0,0.6,25,18,0.72
all-MiniLM-L6-v2,GQ,1.0,0.25,0.4825789121236015,1.0,0.8,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,1.0,0.8764778324952817,1.0,1.0,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,0.5,0.4040038892257743,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.9811396373311051,1.0,1.0,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.7135769373515951,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.7311340247721385,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.5967409351769444,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,0.5,0.772134941893381,1.0,0.8,25,18,0.72
all-MiniLM-L6-v2,GQ,1.0,0.5,0.6819207149295429,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.8909254103672668,1.0,0.8,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.6241075347904756,1.0,0.8,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.7358717948667077,1.0,0.8,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,1.0,0.9020243604942442,1.0,0.8,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.0,0.0,0.0,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,16,0.64
all-MiniLM-L6-v2,GQ,1.0,1.0,0.8375032607814867,1.0,0.8,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,16,0.64
all-MiniLM-L6-v2,GQ,1.0,1.0,0.8077937302657386,1.0,0.8,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.6331583852663827,1.0,0.4,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,0.3333333333333333,0.4130547397016814,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.6811620532124621,1.0,0.6,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.7311340247721385,1.0,0.6,25,15,0.6
all-MiniLM-L6-v2,GQ,1.0,1.0,0.9532640157442877,1.0,1.0,25,14,0.56
all-MiniLM-L6-v2,GQ,1.0,1.0,0.8409534388075904,1.0,0.8,25,16,0.64
all-MiniLM-L6-v2,GQ,1.0,0.5,0.31958277119025663,1.0,0.2,25,17,0.68
all-MiniLM-L6-v2,GQ,0.0,0.0,0.1711851669732523,1.0,0.4,25,16,0.64
all-MiniLM-L6-v2,GQ,0.0,0.0,0.2110527950887942,1.0,0.4,25,13,0.52
all-MiniLM-L6-v2,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,14,0.56
all-MiniLM-L6-v2,GQ,0.0,0.0,0.32950322049509406,1.0,0.4,25,14,0.56
