Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
text-embedding-3-large,GQ,0.5,0.8085523919828194,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8
text-embedding-3-large,GQ,1.0,0.6889234657543797,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6
text-embedding-3-large,GQ,0.5,0.6708217648025655,25,25,1.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
text-embedding-3-large,GQ,0.14285714285714285,0.7480260838274364,25,25,1.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0
text-embedding-3-large,GQ,1.0,0.9635825499105617,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0
text-embedding-3-large,GQ,1.0,0.5864224010106703,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,1.0
text-embedding-3-large,GQ,1.0,0.9630596906229134,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0
text-embedding-3-large,GQ,1.0,0.5967409351769444,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6
text-embedding-3-large,GQ,1.0,0.8032683050277851,25,25,1.0,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
text-embedding-3-large,GQ,0.25,0.46236168289611235,25,25,1.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,1.0
