Embedding,Question_type,retrieved_col_used,k_eval,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7222955191528473,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.14285714285714285,0.7847685192145343,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8831639978253493,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5967409351769444,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.7130540780639468,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.125,0.15979138559512832,0.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.595451497242955,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.8067166371883648,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.7304767707998239,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.6241075347904756,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.792949770861511,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5909478262486239,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8545079602778286,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,0.0,0.0,0.15979138559512832,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,1.0,1.0,1.0,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8909254103672668,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.6663180938082345,1.0,0.4,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6708217648025655,1.0,0.6,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.5065267082131061,1.0,0.2,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,1.0,0.8402086144048716,1.0,0.8,200,50,0.25
e5-large-v2,GQ,retrieved_chunk_ids_reranked,50,1.0,0.5,0.6994778023500862,1.0,0.6,200,50,0.25
